2.006856	5.085837	6.935197	9.590068	13.024530	12.134153	8.581537	0	0
0.876138	1.911370	2.094570	1.131847	1.193679	3.214719	3.488792	0	1
1.118136	2.232687	5.802415	16.628322	24.059542	13.961614	9.3694	1	0
0.872439	3.342213	7.832417	15.509530	40.845827	72.615130	14.745	1	1
3.283355	7.932614	13.051416	10.134253	11.247924	5.634201	8.258858	0	0
0.814188	1.678513	1.646461	1.164516	1.028822	2.440532	3.308696	0	1
1.014782	3.928627	19.390886	24.970204	8.302266	11.159963	9.0567	1	0
0.869518	2.946190	6.710075	16.601925	29.185713	43.297929	13.977	1	1
0.857971	2.341184	4.824967	6.844725	6.628631	4.617162	5.554335	0	0
0.502353	0.920273	2.819784	1.645794	1.820071	1.645851	3.542877	0	1
1.079585	3.426577	19.851381	28.793662	15.348506	14.702542	9.716	1	0
0.857684	2.555532	7.544197	18.457681	33.918144	53.216431	14.229	1	1
0.691996	1.493979	3.688674	5.856677	4.771278	3.689525	4.721024	0	0
0.746033	1.049849	1.538040	0.734163	1.446421	2.778222	3.250028	0	1
1.059941	4.212266	17.790143	21.275284	16.933459	17.280399	10.15	1	0
0.955733	3.483430	8.952690	17.331130	41.216162	61.109861	15.098	1	1
0.863338	2.286727	7.488067	11.065456	5.565268	4.168425	6.190119	0	0
0.553460	0.967760	2.240373	1.089341	1.096586	3.482386	3.481675	0	1
1.317173	3.704623	13.211922	17.656917	14.849108	8.418803	8.6939	1	0
1.436087	3.357152	7.224358	17.103432	31.716318	63.992073	13.772	1	1
